"farm_id","utc_timestamp","daily_growth_rate"
"3a2cce8f-e7b2-4f35-95a0-99c4554cd028","2024-05-12 11:00:00.000000","70.59872"
"3a2cce8f-e7b2-4f35-95a0-99c4554cd028","2024-05-11 11:00:00.000000","45.0433"
"3a2cce8f-e7b2-4f35-95a0-99c4554cd028","2024-05-10 11:00:00.000000","43.07352"
"3a2cce8f-e7b2-4f35-95a0-99c4554cd028","2024-05-06 11:00:00.000000","43.777"
"3a2cce8f-e7b2-4f35-95a0-99c4554cd028","2024-05-05 11:00:00.000000","44.53324"
"3a2cce8f-e7b2-4f35-95a0-99c4554cd028","2024-05-03 11:00:00.000000","46.29981"
"3a2cce8f-e7b2-4f35-95a0-99c4554cd028","2024-04-27 11:00:00.000000","48.28501"
"3a2cce8f-e7b2-4f35-95a0-99c4554cd028","2024-04-26 11:00:00.000000","54.37155"
"3a2cce8f-e7b2-4f35-95a0-99c4554cd028","2024-04-24 11:00:00.000000","53.89065"
"3a2cce8f-e7b2-4f35-95a0-99c4554cd028","2024-04-21 11:00:00.000000","64.39622"
"3a2cce8f-e7b2-4f35-95a0-99c4554cd028","2024-04-16 11:00:00.000000","56.68798"
"3a2cce8f-e7b2-4f35-95a0-99c4554cd028","2024-04-14 11:00:00.000000","52.62154"
"3a2cce8f-e7b2-4f35-95a0-99c4554cd028","2024-04-13 11:00:00.000000","59.84534"
"3a2cce8f-e7b2-4f35-95a0-99c4554cd028","2024-04-09 11:00:00.000000","57.24249"
"89ff4b82-803f-4e84-9827-2256e76f3f0a","2024-02-25 10:00:00.000000","61.15536"
"12de6462-600c-44dc-977a-dee13134f845","2024-12-14 10:00:00.000000","81.44529"
"0d9d49d0-3e6c-40e1-9007-c33e07c6dbd6","2024-10-19 10:00:00.000000","56.49551"
"89ff4b82-803f-4e84-9827-2256e76f3f0a","2024-12-09 10:00:00.000000","80.42817"
"9e89605f-f2b5-4375-8f8a-05b043bc35b5","2024-08-28 11:00:00.000000","47.12043"
"9e89605f-f2b5-4375-8f8a-05b043bc35b5","2024-08-16 11:00:00.000000","38.04246"
"28e1e31a-ab51-4bcb-84f7-f767e349c9af","2024-12-02 10:00:00.000000","71.54722"
"ec7ea766-e197-4494-8585-ce3be39f661c","2024-11-28 10:00:00.000000","74.0365"
"71f7ad21-df36-449f-a624-52283cfb0c28","2024-10-28 10:00:00.000000","78.35201"
"2a0419db-c933-4072-b370-96b99be23f54","2024-09-06 11:00:00.000000","33.18792"
"2b0a307f-1ab9-4b91-9933-8ef8d4daa3c8","2024-11-14 10:00:00.000000","94.13821"
"71f7ad21-df36-449f-a624-52283cfb0c28","2024-11-11 10:00:00.000000","98.85346"
"066ecc54-39b6-4ec4-9fb2-a79ca3456c7d","2024-09-16 11:00:00.000000","75.48131"
"066ecc54-39b6-4ec4-9fb2-a79ca3456c7d","2024-09-20 11:00:00.000000","81.43721"
"2b0a307f-1ab9-4b91-9933-8ef8d4daa3c8","2024-10-21 10:00:00.000000","63.38124"
"2b0a307f-1ab9-4b91-9933-8ef8d4daa3c8","2024-11-25 10:00:00.000000","66.47332"
"12de6462-600c-44dc-977a-dee13134f845","2024-07-23 11:00:00.000000","17.1942"
"2a0419db-c933-4072-b370-96b99be23f54","2024-12-02 10:00:00.000000","36.01035"
"2a0419db-c933-4072-b370-96b99be23f54","2024-02-21 10:00:00.000000","19.55315"
"12de6462-600c-44dc-977a-dee13134f845","2024-05-21 11:00:00.000000","22.45541"
"9e89605f-f2b5-4375-8f8a-05b043bc35b5","2024-10-09 10:00:00.000000","96.15087"
"3a2cce8f-e7b2-4f35-95a0-99c4554cd028","2024-08-05 11:00:00.000000","8.02494"
"2a0419db-c933-4072-b370-96b99be23f54","2024-12-21 10:00:00.000000","36.1076"
"ec7ea766-e197-4494-8585-ce3be39f661c","2024-10-24 10:00:00.000000","55.17962"
"9e89605f-f2b5-4375-8f8a-05b043bc35b5","2024-10-01 10:00:00.000000","39.65909"
"066ecc54-39b6-4ec4-9fb2-a79ca3456c7d","2024-09-02 11:00:00.000000","65.30981"
"9e89605f-f2b5-4375-8f8a-05b043bc35b5","2024-01-23 10:00:00.000000","38.93488"
"0777fca7-017d-46f0-a911-03a837c8fa68","2024-12-09 10:00:00.000000","68.46918"
"2a0419db-c933-4072-b370-96b99be23f54","2024-09-30 10:00:00.000000","39.83559"
"89ff4b82-803f-4e84-9827-2256e76f3f0a","2024-09-28 11:00:00.000000","57.85141"
"0d9d49d0-3e6c-40e1-9007-c33e07c6dbd6","2024-11-27 10:00:00.000000","60.04554"
"2a0419db-c933-4072-b370-96b99be23f54","2024-12-17 10:00:00.000000","38.64458"
"0d9d49d0-3e6c-40e1-9007-c33e07c6dbd6","2024-12-11 10:00:00.000000","47.58996"
"a978b3d8-feab-47ad-a91b-e37c844e75e9","2024-01-10 10:00:00.000000","57.59124"
"28e1e31a-ab51-4bcb-84f7-f767e349c9af","2024-12-17 10:00:00.000000","75.24659"
"3a2cce8f-e7b2-4f35-95a0-99c4554cd028","2024-09-20 11:00:00.000000","42.50171"
"0d9d49d0-3e6c-40e1-9007-c33e07c6dbd6","2024-01-15 10:00:00.000000","43.20108"
"0d9d49d0-3e6c-40e1-9007-c33e07c6dbd6","2024-05-27 11:00:00.000000","6.7504"
"0d9d49d0-3e6c-40e1-9007-c33e07c6dbd6","2024-05-21 11:00:00.000000","6.46909"
"0d9d49d0-3e6c-40e1-9007-c33e07c6dbd6","2024-05-16 11:00:00.000000","12.5791"
